fef,9612694,9730,93,223
feg,9819633,8972,41,78
ffa,9790645,6842,265,379
ffb,9997258,8394,107,202
ffc,9681675,12618,72,132
ffd,9732630,9645,154,322
ffe,9976258,9308,84,140
fff,9939769,8840,6,17
ffg,9827085,8994,104,300
fga,9987594,9848,90,210
fgb,9936927,9276,54,92
fgc,9729862,9919,25,62
fgd,9946610,8497,163,289
fge,9807728,7869,73,160
fgf,9891091,8759,18,55
fgg,9790987,8889,51,81
gaa,9905401,9001,79,146
gab,9844141,7636,62,113
gac,9758226,9141,271,612
gad,9978157,9542,46,185
gae,9785661,8152,44,120
gaf,9860226,8650,17,58
gag,9969777,9357,59,130
gba,9998903,8901,279,496
gbb,9975544,8417,37,123
gbc,9927983,10494,49,108
gbd,9838633,9152,89,136
gbe,9944758,9213,8,26
gbf,9981010,8472,5,13
gbg,9386668,10507,5,9
gca,9829509,9132,88,205
gcb,9993523,8666,173,400
gcc,9713247,8497,116,159
gcd,9756977,8873,171,297
gce,9975120,8676,202,334
gcf,9855408,8984,69,128
gcg,9882044,8401,225,364
gda,9707452,9587,159,274
gdb,9929140,10126,105,253
gdc,9861081,9383,431,998
gdd,9937242,8573,25,68
gde,9957914,8837,126,283
gdf,9985960,9140,152,314
gdg,9909476,9120,262,396
gea,9973455,9396,46,127
geb,9595098,7672,81,219
gec,9984223,9858,282,542
ged,9991851,7575,82,174
gee,9880614,6977,86,242
gef,9762582,8986,76,240
geg,9773941,9086,218,388
gfa,9939205,8808,70,167
gfb,9952611,8422,251,498
gfc,9904768,8934,57,109
gfd,9671420,8986,15,39
gfe,9952722,8260,356,646
gff,9916035,9082,99,145
gfg,9937184,9717,49,165
gga,9931984,8510,32,109
ggb,9733122,9797,166,304
ggc,9930996,9647,63,176
ggd,9905299,11397,26,67
gge,9767400,10131,7,18
ggf,9947223,9760,34,83
ggg,9836901,9711,172,353
